id,text,label
0,Я не получил заказ,positive
1," Что делать Здравствуйте, меня зовут имя, чем я могу Вам помочь? Уточните, пожалуйста, что именно Вас интересует по данному заказу? Скажите, пожалуйста, по какой причине Вы не можете открыть спор? Я сейчас все уточню и вернусь к Вам",positive
2," Благодарю Вас, что подождали",positive
3, Ваш заказ 000000 отправлен 3 февраля 2017 г,positive
4," Продавец гарантирует доставку в срок 60 дней, то есть до 4 апреля 2017 г",positive
5,Посылка в пути 60 дней,positive
6," Вы можете проверить, где находится Ваша посылка по ссылке По нашей информации, Вы продлили срок доставки товара на 15 дней",positive
7, В связи с обновлением системы Вы можете открыть спор по окончанию Срока Доставки в течение 15 дней,positive
8," Не переживайте, пожалуйста, Ваши денежные средства защищены",positive
9," Скажите, пожалуйста, у Вас еще остались вопросы по работе? Большое спасибо за обращение к нам",positive
10, Я была рада Вам помочь,positive
11," Если я ответила на все Ваши вопросы, нажмите, пожалуйста, на кнопку ""Завершить сессию"", чтобы оценить мою работу",positive
12, Удачного Вам дня и хорошего настроения!   ,positive
13,"заказ № 000000 время истекает, а я почему-то не могу открыть спор",positive
14," заказ не пришел продавец на запрос о продлении срока защиты ничего не отвечает система пишет, что мне надо ждать пока закончится время защиты и только потом открывать",positive
15,"это очень странно, ведь после окончания срока защиты спор я открыть уже не смогу статус не обновлялся с 10-го Февраяля, защита истекает завтра я попросил продавца продлить, но он не продлил защитва истекает завтра а, ну раз так, то хорошо нет, спасибо",positive
16,"Как найти нужный товар |Здравствуйте Здравствуйте, меня зовут имя, чем я могу Вам помочь? Слушаю Вас",positive
17," Димяя проблема в скором времени устранится, не переживайте",positive
18," Данные с чата фиксируются, Ваша заявка будет рассмотрена",positive
19, Я ответила на Ваши вопросы? Вы дублируете свои сообщения,positive
20, Вы получаете мои сообщения? попробуйте те же действия через несколько часов,positive
21," Уважаемый клиент, система автоматически закрывает чат, если не следует ответа в течение 4 минут",positive
