id,text,label
0,Как отключить тариф?,FAQ - тарифы и услуги
1,тариф,мобильная связь - тарифы
2,тариф,мобильная связь - тарифы
3,Здрасте я хотел получить золотую карту ,FAQ - тарифы и услуги
4,Золотую карту,FAQ - тарифы и услуги
5,Как отключить доступ в интернет ,Мобильный интернет
6,Как запретить все звонки вне сети оператор,FAQ - интернет
7,тарифы для интернета,мобильная связь - тарифы
8,тариф,мобильная связь - тарифы
9,«тариф»,мобильная связь - тарифы
10,тарифыбез абонентской платы,тарифы - подбор
11,Проверить баланс,Баланс
12,услуга,Мобильные услуги
13,Как перевести деньги еа другой номер?,Оплата
14,услуга,Мобильные услуги
15,Как проверить свой тариф и мигабайты,FAQ - тарифы и услуги
16,Есть кабинет куда заходить,Личный кабинет
17,Какой у меня тариф,FAQ - тарифы и услуги
18,Как пополнить баланс другого абонента оператор.,Оплата
19,Подскажите пожалуйста мне тарифй тариф для телефонных звонков,тарифы - подбор
20,Ручной настройки интернета,FAQ - интернет
21,тариф в неделю как пройти ,мобильная связь - тарифы
22,Мой тариф какой ,FAQ - тарифы и услуги
23,тариф,мобильная связь - тарифы
24,Расскажи мне всё про мой тариф,мобильная связь - тарифы
25,у меня поддерживет 4G или нет,Мобильный интернет
26,Как можно делат номер скыртый,SIM-карта и номер
27,Скрытые,Мобильные услуги
28,Как перейти на тариф,мобильная связь - тарифы
29,тариф,мобильная связь - тарифы
30,Как перейти на тариф,мобильная связь - тарифы
31,тарифы для интернета,мобильная связь - тарифы
32,Безлимитный интернет,мобильная связь - тарифы
33,тариф,мобильная связь - тарифы
34,Мне нужна детализация званков ,Баланс
35,тариф,мобильная связь - тарифы
36,тариф без абонплаты,тарифы - подбор
37,тариф,мобильная связь - тарифы
38,тариф без абонплаты ,тарифы - подбор
39,"мне скучно, услуга",Мобильные услуги
40,«тариф»,мобильная связь - тарифы
41,Популярные тарифы,мобильная связь - тарифы
42,тарифыбез абонентской платы,тарифы - подбор
43,«тариф»,мобильная связь - тарифы
44,Интернет услуги,Мобильные услуги
45,тариф для роуминга,Роуминг
46,Как изменит номер,SIM-карта и номер
47,Как перейти на тариф,FAQ - тарифы и услуги
48,Возможности при нуле,Баланс
49,Возможности при нуле,Баланс
50,Возможности при нуле,Баланс
51,Возможности при нуле,Баланс
52,Возможности при нуле,Баланс
53,Возможности при нуле,Баланс
54,"Подскажите, как мне выгодно позвонить в Россию",FAQ - тарифы и услуги
55,тариф,мобильная связь - тарифы
56,тариф звонок в тажикистан сколько в минут,FAQ - тарифы и услуги
57,Какой тариф лучше для звонков в россию,FAQ - тарифы и услуги
58,Звонки в Россию,FAQ - тарифы и услуги
59,Можно загрузить единица на Московский номер ,Оплата
60,подобрать Вам тариф,тарифы - подбор
61,Можно загрузить единица на Московский номер ,Оплата
62,Мне нужен тариф в неделю,мобильная связь - тарифы
63,тариф,мобильная связь - тарифы
64,Обновите мой профиль,Личный кабинет
65,Как отключить автоплатеж,Мобильные услуги
66,тариф,мобильная связь - тарифы
67,Безлимитный интернет ,мобильная связь - тарифы
68,Звонить в Таджикистан дешевле ,FAQ - тарифы и услуги
69,Какие у вас тарифы для интернета,мобильная связь - тарифы
70,«тариф»,мобильная связь - тарифы
71,Как подключить тариф,мобильная связь - тарифы
72,Здравствуйте подскажите пожалуйста как можно переходить на тариф чтобы было выгодно позвонить номерам Россию,FAQ - тарифы и услуги
73,Как узнать сколько пакета осталось,Баланс
74,мой тариф ,FAQ - тарифы и услуги
75,тариф выхода ,мобильная связь - тарифы
76,«тариф»,мобильная связь - тарифы
77,«тариф»,мобильная связь - тарифы
78,Можете положить деньги на мой счет,Оплата
79,Как перевести единицы другому абоненту,Оплата
80,Как перевести еденицы другому абоненту?,Оплата
81,Здравствуйте скиньте пожалуйста мне автоматические настройки интернета для телефона,Мобильный интернет
82,Как отключить тариф,FAQ - тарифы и услуги
83,Звонки в России,FAQ - тарифы и услуги
84,тариф,мобильная связь - тарифы
85,тариф,мобильная связь - тарифы
86,тариф,мобильная связь - тарифы
87,сколько у меня гб интернета ?,Баланс
88,тариф,мобильная связь - тарифы
89,Возможности при нуле,Баланс
90,Сколько мне осталось траффик?,Баланс
91,Скажи мой номер?,SIM-карта и номер
92,А у тебя их нету?.,Баланс
93,Какой у меня тариф,FAQ - тарифы и услуги
94,Мой тариф,FAQ - тарифы и услуги
95,операторвайфай,Мобильные услуги
96,У интернет скорость вопше отстой,Мобильный интернет
97,команда проверки остатков  пакета,Баланс
98,Как узнать проверить оставщий минуту?,Баланс
99,Как отключить услуга,FAQ - тарифы и услуги
100,тарифы,мобильная связь - тарифы
101,И ещё могу вам видео отправить на WhatsApp ещё если хотите увидеть,FAQ - интернет
102,Мне нужен тариф выгодный для интернета,FAQ - интернет
103,«тариф»,мобильная связь - тарифы
104,«тариф»,мобильная связь - тарифы
105,услуга ,мобильная связь - тарифы
106,Безлимит ,мобильная связь - тарифы
107,Как отключить услугу ,Мобильные услуги
108,тариф,мобильная связь - тарифы
109,Какой у меня номер,SIM-карта и номер
110,Другая команда есть узнать свои номер,SIM-карта и номер
111,Куда уходит интернет у меня так быстро,мобильная связь - тарифы
112,Как отключить тариф,FAQ - тарифы и услуги
113,Перевод денег на другой номер,Оплата
114,Низкая скорость интернета,запрос обратной связи
115,Низкая скорость интернета,запрос обратной связи
116,Как перевести деньги с баланса другому абоненту?,Оплата
117,Здравствуйте я уезжаю в Алматы как я могу подключить роуминг,Мобильные услуги
118,тариф для разговора,тарифы - подбор
119,тариф для звонков ,мобильная связь - тарифы
120,Как сменить номер.,SIM-карта и номер
121,Новый тарифы есть,мобильная связь - тарифы
122,Информации тариф,мобильная связь - тарифы
123,тарифы,мобильная связь - тарифы
124,Все тарифный план покажи,тарифы - подбор
125,Все тарифный план покажи,тарифы - подбор
126,Безлимитный интернет ,мобильная связь - тарифы
127,«тариф»,мобильная связь - тарифы
128,Какие тарифы есть для интернета,тарифы - подбор
129,«тариф»,мобильная связь - тарифы
130,Для интернета и звонков,мобильная связь - тарифы
131,Есть хорошие тарифы для интернета,мобильная связь - тарифы
132,мне интересует тариф на месяц ,мобильная связь - тарифы
133,мне тариф на месяц,мобильная связь - тарифы
134,Перевод денег на другой номер,Оплата
135,У меня тариф какой,FAQ - тарифы и услуги
136,Как проверить остатки трафика,Баланс
137,Ха держать Интернет 2G за что я вам плачу а?,FAQ - интернет
138,тарифы для звонков внутри сети,FAQ - интернет
139,тариф,мобильная связь - тарифы
140,«тариф»,мобильная связь - тарифы
141,Низкая скорест,Мобильный интернет
142,У меня какой тариф,FAQ - тарифы и услуги
143,как можно проверить 10 изменений в балансе,Баланс
144,я меня сколько единица ест,Баланс
