id,Время начала вызова,Время окончания вызова,Время постановки в очередь,Время переключения на оператора,Время окончания разговора с оператором,"Длительность разговора с оператором, сек",Метка
0,00:00:25,00:00:45,,,,,0
1,00:01:52,00:06:08,0:03:19,00:03:34,00:05:36,122.0,1
2,00:01:36,00:03:47,0:02:13,00:02:13,00:03:22,69.0,1
3,00:05:23,00:06:23,,,,,0
4,00:05:49,00:09:48,0:06:53,00:06:53,00:09:48,175.0,1
5,00:06:56,00:14:18,0:08:04,00:08:04,00:13:54,350.0,1
6,00:07:54,00:10:29,0:09:03,00:09:55,00:10:29,34.0,1
7,00:08:44,00:18:23,0:13:01,00:13:01,00:17:35,274.0,1
8,00:14:53,00:24:23,0:21:02,00:21:21,00:23:54,153.0,1
9,00:14:04,00:18:09,0:15:08,00:15:08,00:18:09,181.0,1
10,00:14:34,00:21:21,0:15:39,00:17:43,00:20:52,189.0,1
11,00:17:27,00:23:11,0:18:14,00:18:34,00:20:59,145.0,1
12,00:16:25,00:20:11,00:17:34,,,,0
13,00:20:35,00:23:37,00:21:00,,,,0
14,00:21:37,00:21:51,,,,,0
15,00:22:24,00:23:56,,,,,0
16,00:23:56,00:34:02,0:25:05,00:25:05,00:34:00,535.0,1
17,00:24:51,00:25:47,,,,,0
18,00:25:06,00:27:42,0:25:41,00:25:41,00:27:11,90.0,1
19,00:25:55,00:26:37,,,,,0
20,00:26:49,00:27:36,,,,,0
21,00:27:13,00:31:13,0:28:21,00:28:21,00:31:13,172.0,1
22,00:29:48,00:32:55,0:30:57,00:31:16,00:32:53,97.0,1
23,00:31:47,00:38:13,0:32:53,00:33:10,00:38:11,301.0,1
24,00:28:23,00:29:11,,,,,0
25,00:39:03,00:43:29,0:40:11,00:40:30,00:42:47,137.0,1
26,00:28:40,00:29:54,,,,,0
27,00:30:03,00:30:59,,,,,0
28,00:30:14,00:30:51,,,,,0
29,00:32:29,00:43:07,00:33:38,,,,0
30,00:36:06,00:37:16,,,,,0
31,00:37:58,00:41:39,00:39:04,,,,0
32,00:40:08,00:41:01,,,,,0
33,00:42:48,00:45:52,0:43:30,00:43:49,00:45:52,123.0,1
34,00:42:27,00:45:44,0:43:37,00:43:56,00:45:36,100.0,1
35,00:44:10,00:48:06,0:45:18,00:45:38,00:47:33,115.0,1
36,00:46:13,00:48:43,0:47:19,00:47:34,00:48:43,69.0,1
37,00:49:38,00:54:38,0:50:28,00:50:46,00:53:02,136.0,1
38,00:57:01,01:03:18,0:57:42,00:57:42,01:03:18,336.0,1
39,01:02:18,01:05:07,1:03:26,01:03:26,01:05:03,97.0,1
40,01:02:39,01:10:41,1:03:47,01:03:47,01:10:41,414.0,1
41,01:08:34,01:15:02,1:09:39,01:09:39,01:14:36,297.0,1
42,01:09:20,01:09:22,,,,,0
43,01:14:47,01:22:45,1:15:56,01:15:56,01:22:43,407.0,1
44,01:18:43,01:21:32,1:19:29,01:19:29,01:21:29,120.0,1
45,01:22:47,01:23:41,,,,,0
46,01:23:25,01:28:26,1:24:34,01:24:34,01:28:25,231.0,1
47,01:24:13,01:27:40,1:25:21,01:25:21,01:27:34,133.0,1
48,01:27:36,01:33:34,1:28:11,01:28:27,01:30:59,152.0,1
49,01:28:32,01:33:02,1:29:41,01:29:48,01:32:32,164.0,1
50,01:31:37,01:34:58,1:32:44,01:32:44,01:34:14,90.0,1
51,01:48:54,01:50:04,,,,,0
52,01:51:44,01:52:32,,,,,0
53,01:55:41,02:04:38,1:56:49,01:56:49,02:03:59,430.0,1
54,01:58:27,01:59:16,,,,,0
55,01:59:24,02:00:40,,,,,0
56,02:01:10,02:02:12,,,,,0
57,02:03:15,02:04:31,,,,,0
58,02:04:41,02:08:37,2:05:15,02:05:15,02:08:36,201.0,1
59,02:08:17,02:09:44,,,,,0
60,02:09:54,02:11:12,,,,,0
61,02:11:15,02:15:21,2:12:24,02:12:24,02:15:18,174.0,1
62,02:11:40,02:18:48,2:12:48,02:12:48,02:18:30,342.0,1
63,02:12:26,02:14:40,02:13:36,,,,0
64,02:14:16,02:20:12,2:14:42,02:15:19,02:18:19,180.0,1
65,02:19:04,02:24:47,2:20:11,02:20:11,02:23:50,219.0,1
66,02:22:05,02:25:18,2:23:13,02:23:13,02:24:28,75.0,1
67,02:24:19,02:28:27,2:25:23,02:25:23,02:27:55,152.0,1
68,02:25:30,02:26:19,,,,,0
69,02:32:33,02:37:58,2:33:39,02:33:39,02:37:34,235.0,1
70,02:32:55,02:38:42,2:34:04,02:34:04,02:38:04,240.0,1
71,02:35:26,02:41:35,2:36:33,02:37:35,02:41:02,207.0,1
72,02:40:02,02:44:16,2:41:11,02:41:11,02:43:57,166.0,1
73,02:41:29,02:42:27,2:41:55,02:41:55,02:42:27,32.0,1
74,02:43:07,02:47:52,2:43:37,02:43:37,02:46:18,161.0,1
75,03:13:23,03:19:26,3:14:31,03:14:31,03:18:44,253.0,1
76,03:15:05,03:17:06,3:15:51,03:15:51,03:17:06,75.0,1
77,03:25:11,03:25:51,,,,,0
78,03:26:15,03:27:06,,,,,0
79,03:27:58,03:37:24,3:28:39,03:28:39,03:37:24,525.0,1
80,03:40:28,03:46:46,3:41:12,03:41:12,03:46:46,334.0,1
81,03:41:18,03:48:26,3:42:27,03:42:27,03:47:57,330.0,1
82,03:45:37,03:49:55,3:47:53,03:48:07,03:49:13,66.0,1
83,03:49:12,03:58:25,3:50:20,03:50:20,03:57:31,431.0,1
84,03:51:39,03:57:46,3:52:44,03:52:44,03:57:12,268.0,1
85,03:57:26,04:00:53,3:58:33,03:58:33,04:00:51,138.0,1
86,03:58:52,04:01:58,3:59:24,03:59:24,04:01:08,104.0,1
87,03:59:06,04:05:09,4:00:14,04:00:53,04:05:04,251.0,1
88,04:00:14,04:03:27,4:01:22,04:01:42,04:03:05,83.0,1
89,04:02:44,04:04:29,4:03:25,04:03:25,04:04:28,63.0,1
90,04:15:20,04:19:05,4:16:28,04:16:28,04:18:31,123.0,1
91,04:16:25,04:20:43,4:17:33,04:17:33,04:20:39,186.0,1
92,04:30:12,04:31:23,,,,,0
93,04:43:56,04:44:29,4:43:56,04:43:56,04:44:29,33.0,1
94,04:46:39,04:48:01,4:47:06,04:47:06,04:48:01,55.0,1
95,04:47:15,04:48:12,,,,,0
96,04:48:05,04:53:39,4:48:20,04:48:20,04:50:47,147.0,1
97,04:48:21,04:54:25,4:49:30,04:49:30,04:54:25,295.0,1
98,04:51:32,04:56:18,4:52:36,04:52:36,04:56:16,220.0,1
99,04:56:10,04:56:32,,,,,0
100,04:56:46,05:00:21,4:57:55,04:57:55,05:00:18,143.0,1
101,04:58:18,05:01:59,4:59:25,04:59:25,05:01:59,154.0,1
102,05:00:02,05:05:42,5:01:10,05:01:10,05:05:39,269.0,1
103,05:10:25,05:13:29,5:11:34,05:11:34,05:13:26,112.0,1
104,05:17:26,05:21:21,5:18:32,05:18:32,05:21:02,150.0,1
105,05:27:54,05:30:38,5:28:34,05:28:34,05:30:22,108.0,1
106,05:31:19,05:33:12,5:31:54,05:31:54,05:33:12,78.0,1
107,05:33:11,05:38:00,5:34:28,05:34:28,05:37:26,178.0,1
108,05:44:05,05:46:58,5:45:12,05:45:12,05:46:55,103.0,1
109,05:48:38,05:49:24,,,,,0
110,05:49:44,05:50:17,,,,,0
111,05:54:15,05:58:38,5:55:23,05:55:23,05:58:12,169.0,1
112,05:54:46,05:58:07,5:55:55,05:55:55,05:57:50,115.0,1
113,05:59:53,06:01:04,,,,,0
114,06:01:11,06:04:50,6:02:19,06:02:19,06:04:49,150.0,1
115,06:01:48,06:01:51,,,,,0
116,06:10:12,06:12:53,6:11:21,06:11:21,06:12:53,92.0,1
117,06:10:40,06:18:21,6:11:50,06:13:10,06:18:17,307.0,1
118,06:11:19,06:11:52,,,,,0
119,06:16:58,06:20:04,6:18:06,06:18:23,06:19:34,71.0,1
120,06:18:10,06:22:18,6:19:18,06:19:37,06:22:11,154.0,1
121,06:15:03,06:17:27,06:16:09,,,,0
122,06:18:14,06:20:53,6:19:23,06:19:43,06:20:53,70.0,1
123,06:24:50,06:28:43,6:25:37,06:25:37,06:27:56,139.0,1
124,06:27:37,06:28:04,,,,,0
125,06:29:14,06:35:54,6:30:15,06:30:15,06:35:52,337.0,1
126,06:32:49,06:33:47,,,,,0
127,06:34:42,06:35:43,,,,,0
